Image_ID,class,confidence,ymin,xmin,ymax,xmax
ID_A16nzu.jpg,cssvd,0.6912361979484558,62,64,1267,937
ID_A16nzu.jpg,healthy,0.5656590461730957,67,60,1261,908
ID_A16nzu.jpg,healthy,0.5042897462844849,11,75,1272,938
ID_A16nzu.jpg,healthy,0.4903719127178192,16,42,1272,928
ID_A16nzu.jpg,cssvd,0.4352831542491913,5,75,1265,933
ID_A16nzu.jpg,healthy,0.2404022365808487,1,0,518,340
ID_A16nzu.jpg,healthy,0.2259151190519333,0,0,524,357
ID_A16nzu.jpg,healthy,0.15065382421016693,0,1,513,366
ID_A16nzu.jpg,cssvd,0.10717855393886566,0,5,540,388
ID_A16nzu.jpg,cssvd,0.07527712732553482,0,158,311,521
ID_A16nzu.jpg,cssvd,0.0644320622086525,0,2,518,379
ID_A16nzu.jpg,healthy,0.06203882396221161,0,150,317,548
ID_A16nzu.jpg,cssvd,0.05844344198703766,0,703,825,960
ID_A16nzu.jpg,healthy,0.05546385422348976,0,161,284,581
ID_A16nzu.jpg,healthy,0.04792464151978493,0,168,283,555
ID_A16nzu.jpg,healthy,0.047157999128103256,0,678,809,957
ID_A16nzu.jpg,cssvd,0.040645699948072433,0,140,318,530
ID_A16nzu.jpg,healthy,0.038401588797569275,329,0,1199,223
ID_A16nzu.jpg,healthy,0.029791930690407753,357,1,1267,255
ID_A16nzu.jpg,healthy,0.02803085558116436,10,647,1244,958
ID_A1Euyz.jpg,anthracnose,0.7164052128791809,148,247,1049,958
ID_A1Euyz.jpg,anthracnose,0.6363486647605896,128,246,1101,960
ID_A1Euyz.jpg,anthracnose,0.5413491725921631,122,220,1068,958
ID_A1Euyz.jpg,anthracnose,0.0854106917977333,1018,159,1278,417
ID_A1Euyz.jpg,anthracnose,0.07719218730926514,0,52,291,637
ID_A1Euyz.jpg,anthracnose,0.06814047694206238,1022,151,1278,426
ID_A1Euyz.jpg,anthracnose,0.03394848480820656,212,2,478,162
ID_A1Euyz.jpg,anthracnose,0.02300732024013996,0,54,211,602
ID_A1Euyz.jpg,anthracnose,0.020045211538672447,0,82,305,639
ID_A1Euyz.jpg,anthracnose,0.015500839799642563,1007,153,1280,439
ID_A1Euyz.jpg,anthracnose,0.010541314259171486,506,0,1256,160
ID_A1Euyz.jpg,anthracnose,0.008218592032790184,438,0,1251,144
ID_A1Euyz.jpg,anthracnose,0.007869194261729717,1015,115,1277,651
ID_A1Euyz.jpg,anthracnose,0.006584492512047291,435,391,833,729
ID_A1Euyz.jpg,anthracnose,0.006144879385828972,869,281,1278,865
ID_A1Euyz.jpg,anthracnose,0.0057209087535738945,229,293,784,744
ID_A1Euyz.jpg,anthracnose,0.00439109792932868,944,118,1278,571
ID_A1Euyz.jpg,anthracnose,0.004292626399546862,494,0,1255,250
ID_A1Euyz.jpg,anthracnose,0.0041365367360413074,0,109,388,696
ID_A1Euyz.jpg,cssvd,0.004044128581881523,528,108,750,340
ID_A1HcV0.jpeg,anthracnose,0.8087603449821472,131,3,2572,1422
ID_A1HcV0.jpeg,anthracnose,0.781743586063385,101,11,2549,1445
ID_A1HcV0.jpeg,anthracnose,0.7572005391120911,779,1001,3658,2288
ID_A1HcV0.jpeg,anthracnose,0.7552286386489868,785,1006,3625,2287
ID_A1HcV0.jpeg,anthracnose,0.7434003353118896,132,5,2544,1415
ID_A1HcV0.jpeg,anthracnose,0.7149305939674377,780,993,3613,2330
ID_A1HcV0.jpeg,anthracnose,0.4293833374977112,1,2315,719,3022
ID_A1HcV0.jpeg,anthracnose,0.3879830837249756,1,2325,664,3019
ID_A1HcV0.jpeg,anthracnose,0.29522058367729187,5,2319,664,3022
ID_A1HcV0.jpeg,anthracnose,0.03979844972491264,894,1831,2864,2630
ID_A1HcV0.jpeg,anthracnose,0.03350253775715828,873,1842,2933,2588
ID_A1HcV0.jpeg,anthracnose,0.018670689314603806,2335,1021,3619,2263
ID_A1HcV0.jpeg,anthracnose,0.012837465852499008,3572,513,4027,907
ID_A1HcV0.jpeg,anthracnose,0.01178736425936222,0,386,296,1980
ID_A1HcV0.jpeg,anthracnose,0.010345177724957466,0,1598,227,2992
ID_A1HcV0.jpeg,anthracnose,0.006823066156357527,2475,1045,3578,2233
ID_A1HcV0.jpeg,anthracnose,0.0064978948794305325,2370,1033,3588,2276
ID_A1HcV0.jpeg,anthracnose,0.00616593798622489,0,1650,138,2733
ID_A1HcV0.jpeg,anthracnose,0.005399944726377726,839,1606,2906,2626
ID_A1HcV0.jpeg,anthracnose,0.005165777634829283,1,375,291,1947
ID_A4ZdJC.jpeg,healthy,0.8586748242378235,616,240,4003,2157
ID_A4ZdJC.jpeg,healthy,0.8534413576126099,638,219,3986,2162
ID_A4ZdJC.jpeg,healthy,0.8498826026916504,635,232,4014,2167
ID_A4ZdJC.jpeg,healthy,0.14758984744548798,0,1,1034,720
ID_A4ZdJC.jpeg,healthy,0.12605834007263184,0,0,1049,716
ID_A4ZdJC.jpeg,healthy,0.08621565252542496,4,2106,1995,3022
ID_A4ZdJC.jpeg,healthy,0.08170420676469803,0,1339,2000,3014
ID_A4ZdJC.jpeg,healthy,0.07885517925024033,692,0,2841,371
ID_A4ZdJC.jpeg,healthy,0.07447931915521622,0,2172,1959,3010
ID_A4ZdJC.jpeg,healthy,0.07191097736358643,312,1388,1280,2491
ID_A4ZdJC.jpeg,healthy,0.06993923336267471,32,1182,2039,3015
ID_A4ZdJC.jpeg,healthy,0.062432050704956055,498,2204,2000,3016
ID_A4ZdJC.jpeg,healthy,0.06058269739151001,175,1343,2045,3018
ID_A4ZdJC.jpeg,healthy,0.056856777518987656,0,0,1038,682
ID_A4ZdJC.jpeg,healthy,0.03329026326537132,910,0,2303,449
ID_A4ZdJC.jpeg,healthy,0.03162452206015587,580,0,3076,429
ID_A4ZdJC.jpeg,healthy,0.024946853518486023,0,0,2358,765
ID_A4ZdJC.jpeg,healthy,0.020557468757033348,1,1985,1508,3011
ID_A4ZdJC.jpeg,healthy,0.020547393709421158,428,980,1683,2089
ID_A4ZdJC.jpeg,healthy,0.02023000828921795,0,0,2441,611
ID_A5SFUW.jpeg,healthy,0.8651782274246216,12,4,3870,2922
ID_A5SFUW.jpeg,healthy,0.8618370294570923,0,0,3953,3011
ID_A5SFUW.jpeg,healthy,0.8517571091651917,8,28,3867,2930
ID_A5SFUW.jpeg,healthy,0.03448106348514557,30,2702,1619,3024
ID_A5SFUW.jpeg,healthy,0.031071312725543976,5,2683,1939,3024
ID_A5SFUW.jpeg,healthy,0.010276329703629017,426,2491,1640,3022
ID_A5SFUW.jpeg,healthy,0.008513069711625576,2,2333,2024,3024
ID_A5SFUW.jpeg,healthy,0.007145156618207693,0,126,354,3015
ID_A5SFUW.jpeg,healthy,0.006536405999213457,411,2788,1721,3024
ID_A5SFUW.jpeg,healthy,0.0050280396826565266,1873,0,3768,136
ID_A5SFUW.jpeg,healthy,0.00451327720656991,2,2183,1984,3024
ID_A5SFUW.jpeg,healthy,0.004321010317653418,0,191,406,3017
ID_A5SFUW.jpeg,healthy,0.004127222578972578,575,2788,1558,3024
ID_A5SFUW.jpeg,healthy,0.0038274279795587063,2010,0,3722,119
ID_A5SFUW.jpeg,healthy,0.0034727163147181273,0,269,429,3011
ID_A5SFUW.jpeg,healthy,0.003212832612916827,2173,269,3837,1428
ID_A5SFUW.jpeg,healthy,0.003027660772204399,673,2617,1679,3024
ID_A5SFUW.jpeg,healthy,0.0029223726596683264,1555,1,3308,229
ID_A5SFUW.jpeg,healthy,0.0028009710367769003,0,849,195,3024
ID_A5SFUW.jpeg,healthy,0.002672716276720166,1766,1,3464,195
ID_A6Fogi.jpeg,anthracnose,0.738571047782898,733,170,3396,1785
ID_A6Fogi.jpeg,anthracnose,0.7347463369369507,729,150,3420,1788
ID_A6Fogi.jpeg,anthracnose,0.6632437109947205,604,158,3935,1784
ID_A6Fogi.jpeg,anthracnose,0.020667007192969322,2036,50,4000,1793
ID_A6Fogi.jpeg,anthracnose,0.012487094849348068,3086,0,3992,1712
ID_A6Fogi.jpeg,anthracnose,0.011141874827444553,3218,9,3996,1609
ID_A6Fogi.jpeg,anthracnose,0.009053112007677555,2948,2,4000,1750
ID_A6Fogi.jpeg,anthracnose,0.007603868376463652,2108,12,3998,1788
ID_A6Fogi.jpeg,anthracnose,0.007271453272551298,11,0,1288,1794
ID_A6Fogi.jpeg,anthracnose,0.004780582617968321,4,12,1223,1790
ID_A6Fogi.jpeg,anthracnose,0.004702550359070301,1293,304,2385,1194
ID_A6Fogi.jpeg,anthracnose,0.002560210879892111,2452,452,3474,1496
ID_A6Fogi.jpeg,anthracnose,0.0023307143710553646,1174,221,2598,1244
ID_A6Fogi.jpeg,healthy,0.001979359658434987,3042,15,4000,1185
ID_A6Fogi.jpeg,anthracnose,0.0019419443560764194,4,8,1566,1797
ID_A6Fogi.jpeg,anthracnose,0.0018498448189347982,787,143,2400,1354
ID_A6Fogi.jpeg,anthracnose,0.0018332804320380092,2247,970,3987,1793
ID_A6Fogi.jpeg,healthy,0.001738832681439817,3115,3,3998,1192
ID_A6Fogi.jpeg,anthracnose,0.0016779779689386487,3390,311,4000,1286
ID_A6Fogi.jpeg,anthracnose,0.0014730688417330384,778,657,2420,1785
ID_ABDCyn.jpeg,healthy,0.8548890948295593,301,2,3977,2265
ID_ABDCyn.jpeg,healthy,0.8467879891395569,291,0,3980,2257
ID_ABDCyn.jpeg,healthy,0.8393345475196838,304,0,3983,2230
ID_ABDCyn.jpeg,healthy,0.8078508973121643,531,1450,3197,2934
ID_ABDCyn.jpeg,healthy,0.7783042788505554,537,1444,3202,2933
ID_ABDCyn.jpeg,healthy,0.7715060710906982,575,1412,3170,2966
ID_ABDCyn.jpeg,healthy,0.7102370858192444,0,0,673,2291
ID_ABDCyn.jpeg,healthy,0.6954437494277954,0,0,660,2343
ID_ABDCyn.jpeg,healthy,0.6931345462799072,0,0,691,2380
ID_ABDCyn.jpeg,healthy,0.0680302307009697,4,2608,410,3024
ID_ABDCyn.jpeg,healthy,0.06362312287092209,7,2545,656,3024
ID_ABDCyn.jpeg,healthy,0.05743235722184181,6,2442,756,3024
ID_ABDCyn.jpeg,healthy,0.04781539738178253,646,2359,2923,3021
ID_ABDCyn.jpeg,healthy,0.0338333323597908,0,2095,579,3022
ID_ABDCyn.jpeg,healthy,0.027744360268115997,358,2895,1339,3024
ID_ABDCyn.jpeg,healthy,0.02724783681333065,0,2123,402,3024
ID_ABDCyn.jpeg,healthy,0.025419143959879875,1,2189,409,3024
ID_ABDCyn.jpeg,healthy,0.023271970450878143,0,2352,1094,3024
ID_ABDCyn.jpeg,healthy,0.019792012870311737,568,2433,2898,3024
ID_ABDCyn.jpeg,healthy,0.01937699131667614,0,2599,1515,3024
ID_ACg6Qf.jpeg,anthracnose,0.7965654134750366,51,5,1018,539
ID_ACg6Qf.jpeg,anthracnose,0.7793466448783875,49,6,1029,544
ID_ACg6Qf.jpeg,anthracnose,0.7608442902565002,38,3,1045,547
ID_ACg6Qf.jpeg,anthracnose,0.03758857771754265,525,19,1040,495
ID_ACg6Qf.jpeg,anthracnose,0.03582938760519028,111,378,973,576
